Title,Description,Status,Labels,Project,Team,Priority,Area
"Cardio detail drill-down","Detailed cardio view with totals, zone time, best session, and cardio workout list.","Done","project-strideslip-ios,strideslip,ios,feature-registry,cardio,insights","StrideSlip iOS","TYR","High","Cardio"
"Strength insight card","Strength summary with session count, duration, burn, heart-rate context, and best session.","Done","project-strideslip-ios,strideslip,ios,feature-registry,strength,insights","StrideSlip iOS","TYR","Medium","Insights"
"Household compete board","Simple household competition surface for Tyron and Tiffany with leaderboard and gap context.","Done","project-strideslip-ios,strideslip,ios,feature-registry,compete","StrideSlip iOS","TYR","High","Compete"
"Invite-code competition flow","Generate, copy, share, paste, and join household competition invite codes.","Done","project-strideslip-ios,strideslip,ios,feature-registry,compete,cloudkit","StrideSlip iOS","TYR","High","Compete"
"Aggregate CloudKit competition sync","Sync only aggregate competition totals through CloudKit, not raw HealthKit samples.","Done","project-strideslip-ios,strideslip,ios,feature-registry,cloudkit,privacy","StrideSlip iOS","TYR","High","CloudKit"
"Daily step Live Activity","Lock Screen/Dynamic Island Live Activity for current steps, goal percent, and progress.","Done","project-strideslip-ios,strideslip,ios,feature-registry,activitykit","StrideSlip iOS","TYR","High","Live Activity"
"Background HealthKit delivery","Enable HealthKit background delivery to refresh today and the Live Activity when iOS wakes the app.","Done","project-strideslip-ios,strideslip,ios,feature-registry,healthkit,activitykit","StrideSlip iOS","TYR","High","HealthKit"
"Apple Watch aggregate sync","Publish aggregate activity snapshots to the watch companion surfaces.","Done","project-strideslip-ios,strideslip,ios,feature-registry,watch","StrideSlip iOS","TYR","Medium","Watch"
"App Intents shortcuts","Expose app intents for today steps, opening Compete, and syncing the household board.","Done","project-strideslip-ios,strideslip,ios,feature-registry,app-intents","StrideSlip iOS","TYR","Medium","Shortcuts"
"Settings diagnostics","Show version, HealthKit status, refresh state, iCloud state, Live Activity state, and copyable diagnostics.","Done","project-strideslip-ios,strideslip,ios,feature-registry,settings,diagnostics","StrideSlip iOS","TYR","Medium","Settings"
"Persistent view choices","Remember Activity mode/filter/sort, workout filter, and Insights selected scope.","Done","project-strideslip-ios,strideslip,ios,feature-registry,preferences","StrideSlip iOS","TYR","Medium","Preferences"
"Pull-to-refresh","Add pull-to-refresh to Today, Activity, and Insights while keeping compact loading states.","Done","project-strideslip-ios,strideslip,ios,feature-registry,qol","StrideSlip iOS","TYR","Medium","Quality"
"Privacy manifest","Include required Apple privacy manifest entries for app-store readiness.","Done","project-strideslip-ios,strideslip,ios,feature-registry,privacy","StrideSlip iOS","TYR","High","Privacy"
"TestFlight runbook","Document device proof, App Store Connect, TestFlight beta, and privacy-label steps.","Done","project-strideslip-ios,strideslip,ios,feature-registry,release","StrideSlip iOS","TYR","Medium","Release"
"GitHub CI workflow","Run core Swift checks and iOS tests through GitHub Actions for regression coverage.","Done","project-strideslip-ios,strideslip,ios,feature-registry,ci","StrideSlip iOS","TYR","Medium","CI"
"Local device install scripts","Keep repeatable scripts for local and production iPhone installation flows.","Done","project-strideslip-ios,strideslip,ios,feature-registry,release,device","StrideSlip iOS","TYR","Medium","Release"
"StrideSlip project documentation","README and docs describe the privacy model, architecture, product surfaces, and setup flow.","Done","project-strideslip-ios,strideslip,ios,feature-registry,docs","StrideSlip iOS","TYR","Medium","Docs"
